CS8073	CodeAnalysis\JavaScript\JsTreeWrapper.cs	216
CS8600	CodeAnalysis\CodeAnalysisApi.cs	29
CS8600	CodeAnalysis\ProjectLoader.cs	231
CS8600	CodeAnalysis\RoslynParser.cs	476
CS8600	CodeAnalysis\RoslynParser.cs	517
CS8600	CodeAnalysis\RoslynSemanticAnalyzer.cs	137
CS8600	CodeAnalysis\RoslynSemanticAnalyzer.cs	141
CS8600	Core\AgentCore.cs	255
CS8600	Core\BagOfWordsService.cs	157
CS8600	Core\ClipboardOperations.cs	48
CS8600	Core\EmbeddingService.cs	198
CS8600	Core\FileOperations.cs	154
CS8600	Core\FileOperations.cs	175
CS8600	Core\FileOperations.cs	77
CS8600	Core\FileOperations.cs	99
CS8600	Core\HttpClientOperations.cs	149
CS8600	Core\HybridTrie.cs	205
CS8600	Core\HybridTrie.cs	234
CS8600	Core\HybridTrie.cs	35
CS8600	Core\MixedSegmenterEnhanced.cs	157
CS8600	Core\MixedSegmenterEnhanced.cs	287
CS8600	Core\MixedSegmenterEnhanced.cs	33
CS8600	Core\MixedSegmenterEnhanced.cs	383
CS8600	Core\MixedSegmenterEnhanced.cs	390
CS8600	Core\SkillManager.cs	183
CS8600	Core\SkillManager.cs	299
CS8600	Core\SkillManager.cs	548
CS8600	Core\SkillManager.cs	550
CS8600	Core\SkillManager.cs	553
CS8600	Core\SkillManager.cs	558
CS8600	Core\WebSocketServer.cs	194
CS8600	Core\WebSocketServer.cs	296
CS8600	Core\WebSocketServer.cs	429
CS8600	ScriptApi\FrameworkApiAlias.cs	2476
CS8600	ScriptApi\FrameworkApiAlias.cs	2523
CS8600	ScriptApi\FrameworkApiAlias.cs	2559
CS8600	ScriptApi\FrameworkApiAlias.cs	3653
CS8600	ScriptApi\FrameworkApiAlias.cs	5196
CS8600	ScriptApi\ProcessOperationsApi.cs	20
CS8600	ScriptApi\ProcessOperationsApi.cs	21
CS8600	ScriptApi\ProcessOperationsApi.cs	54
CS8600	ScriptApi\ProcessOperationsApi.cs	55
CS8600	ScriptApi\UnifiedCodeAnalysisScriptApi.cs	1037
CS8600	ScriptApi\UnifiedCodeAnalysisScriptApi.cs	1060
CS8600	ScriptApi\UnifiedCodeAnalysisScriptApi.cs	1131
CS8600	ScriptApi\UnifiedCodeAnalysisScriptApi.cs	1154
CS8600	ScriptApi\UnifiedCodeAnalysisScriptApi.cs	1225
CS8600	ScriptApi\UnifiedCodeAnalysisScriptApi.cs	1248
CS8600	ScriptApi\UnifiedCodeAnalysisScriptApi.cs	172
CS8600	ScriptApi\UnifiedCodeAnalysisScriptApi.cs	195
CS8600	ScriptApi\UnifiedCodeAnalysisScriptApi.cs	266
CS8600	ScriptApi\UnifiedCodeAnalysisScriptApi.cs	289
CS8600	ScriptApi\UnifiedCodeAnalysisScriptApi.cs	361
CS8600	ScriptApi\UnifiedCodeAnalysisScriptApi.cs	384
CS8600	ScriptApi\UnifiedCodeAnalysisScriptApi.cs	455
CS8600	ScriptApi\UnifiedCodeAnalysisScriptApi.cs	478
CS8600	ScriptApi\UnifiedCodeAnalysisScriptApi.cs	502
CS8600	ScriptApi\UnifiedCodeAnalysisScriptApi.cs	525
CS8600	ScriptApi\UnifiedCodeAnalysisScriptApi.cs	599
CS8600	ScriptApi\UnifiedCodeAnalysisScriptApi.cs	623
CS8600	ScriptApi\UnifiedCodeAnalysisScriptApi.cs	697
CS8600	ScriptApi\UnifiedCodeAnalysisScriptApi.cs	721
CS8600	ScriptApi\UnifiedCodeAnalysisScriptApi.cs	795
CS8600	ScriptApi\UnifiedCodeAnalysisScriptApi.cs	819
CS8600	ScriptApi\UnifiedCodeAnalysisScriptApi.cs	940
CS8600	ScriptApi\UnifiedCodeAnalysisScriptApi.cs	964
CS8600	Tools\TestTreeSitter.cs	252
CS8600	Tools\TestTreeSitter.cs	85
CS8601	CodeAnalysis\CodeMetricsAnalyzer.cs	116
CS8601	CodeAnalysis\CodeMetricsAnalyzer.cs	134
CS8601	CodeAnalysis\ProjectLoader.cs	34
CS8601	CodeAnalysis\RoslynParser.cs	401
CS8601	CodeAnalysis\RoslynParser.cs	505
CS8601	CodeAnalysis\RoslynParser.cs	546
CS8601	CodeAnalysis\RoslynSemanticAnalyzer.cs	110
CS8601	CodeAnalysis\RoslynSemanticAnalyzer.cs	111
CS8601	CodeAnalysis\RoslynSemanticAnalyzer.cs	149
CS8601	CodeAnalysis\RoslynSemanticAnalyzer.cs	150
CS8601	CodeAnalysis\RoslynSemanticAnalyzer.cs	209
CS8601	CodeAnalysis\RoslynSemanticAnalyzer.cs	214
CS8601	CodeAnalysis\RoslynSemanticAnalyzer.cs	215
CS8601	CodeAnalysis\RoslynSemanticAnalyzer.cs	248
CS8601	CodeAnalysis\RoslynSemanticAnalyzer.cs	251
CS8601	CodeAnalysis\RoslynSemanticAnalyzer.cs	252
CS8601	CodeAnalysis\RoslynSemanticAnalyzer.cs	471
CS8601	CodeAnalysis\RoslynSemanticAnalyzer.cs	474
CS8601	CodeAnalysis\RoslynSemanticAnalyzer.cs	475
CS8601	CodeAnalysis\TreeSitter\Adapters\CAdapter.cs	149
CS8601	CodeAnalysis\TreeSitter\Adapters\CAdapter.cs	166
CS8601	CodeAnalysis\TreeSitter\Adapters\CAdapter.cs	184
CS8601	CodeAnalysis\TreeSitter\Adapters\CppAdapter.cs	149
CS8601	CodeAnalysis\TreeSitter\Adapters\CppAdapter.cs	166
CS8601	CodeAnalysis\TreeSitter\Adapters\CppAdapter.cs	184
CS8601	CodeAnalysis\UnifiedCodeAnalysisApi.cs	36
